2025-07-31T20:11:55.509735015Z 20:11:55 |  INFO | main: [FUNCIONALIDAD] Nueva llamada entrante (POST /twilio-voice)
2025-07-31T20:12:52.833775265Z Nuestros agentes de IA son personalizables, así que podemos adaptarlos a las necesidades específicas de tu empresa. Y lo mejor es que no requieren de ningún conocimiento técnico para implementarlos, nosotros nos encargamos de todo.
2025-07-31T20:12:52.833779285Z 
2025-07-31T20:12:52.833783935Z ¿Te gustaría que te dé un ejemplo de cómo podría funcionar un agente de IA en tu empresa?'
2025-07-31T20:12:52.833788195Z 20:12:52 |  INFO | conversation_flow: [HISTORIAL] Respuesta de IA recibida: 'Los agentes de IA pueden hacer desde gestionar llamadas y chats, hasta ayudar con tareas de marketing, ventas, y atención al cliente. También pueden ayudar con la automatización de tareas repetitivas, como la gestión de citas, el seguimiento de leads, y la actualización de bases de datos.
2025-07-31T20:12:52.833805466Z 
2025-07-31T20:12:52.833808166Z Nuestros agentes de IA son personalizables, así que podemos adaptarlos a las necesidades específicas de tu empresa. Y lo mejor es que no requieren de ningún conocimiento técnico para implementarlos, nosotros nos encargamos de todo.
2025-07-31T20:12:52.833810416Z 
2025-07-31T20:12:52.833812976Z ¿Te gustaría que te dé un ejemplo de cómo podría funcionar un agente de IA en tu empresa?'
2025-07-31T20:12:52.833830026Z 20:12:52 |  INFO | call_orchestrator: 🤖 IA responde: 'Los agentes de IA pueden hacer desde gestionar lla...'
2025-07-31T20:12:52.833894278Z 20:12:52 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:52.834169594Z 20:12:52 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs ya estaba abierto, preparación en 0.2 ms
2025-07-31T20:12:52.834219256Z 20:12:52 |  INFO | call_orchestrator: [DIAGNÓSTICO] Pre-TTS - Conectado: False, Errores: 0, Intentos: 0
2025-07-31T20:12:52.834277997Z 20:12:52 |  INFO | audio_manager: 🔊 Iniciando TTS: 'Los agentes de IA pueden hacer desde gestionar lla...' (613 chars)
2025-07-31T20:12:52.834477382Z 20:12:52 |  INFO | audio_manager: [DIAGNÓSTICO] TTS WebSocket - Intentos: 0, Errores: 0, Conectado: False
2025-07-31T20:12:52.834713917Z 20:12:52 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-START] EL WS texto enviado: 613 chars (modo legacy)
2025-07-31T20:12:52.838593537Z 20:12:52 |  INFO | twilio_handler: [LATENCIA] Evento 'mark' procesado en 0.0 ms
2025-07-31T20:12:53.636241947Z 20:12:53 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-FIRST] EL primer audio chunk: 801.5 ms
2025-07-31T20:12:53.636267227Z 20:12:53 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Primer chunk recibido tras 1 intentos
2025-07-31T20:12:53.636632536Z 20:12:53 |  INFO | eleven_ws_tts_client: [LATENCIA] Primer chunk de audio recibido en 802.1 ms
2025-07-31T20:12:53.636640836Z 20:12:53 |  INFO | audio_manager: ✅ WebSocket TTS iniciado correctamente
2025-07-31T20:12:53.636679337Z 20:12:53 |  INFO | audio_manager: [LATENCIA] WebSocket TTS iniciado en 802.4 ms
2025-07-31T20:12:53.636763099Z 20:12:53 |  INFO | conversation_flow: [LATENCIA] Turno completo (LLM + respuesta TTS) en 1920.5 ms
2025-07-31T20:12:53.636770569Z 20:12:53 |  INFO | conversation_flow: ⏱️ [PERF] FIN DE TURNO - Latencia total: 1998.1ms
2025-07-31T20:12:56.367640472Z 20:12:56 |  INFO | call_orchestrator: [DIAGNÓSTICO] Salud llamada - Duración: 60.8s, STT: True, TTS: True, Hablando: True
2025-07-31T20:12:58.776400388Z 20:12:58 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Cerrando WebSocket ElevenLabs...
2025-07-31T20:12:58.776421178Z 20:12:58 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs estuvo abierto durante 7136.9 ms
2025-07-31T20:12:58.776446289Z 20:12:58 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Chunks de audio procesados: 20
2025-07-31T20:12:58.776475519Z 20:12:58 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Errores totales: 0
2025-07-31T20:12:58.776535091Z 20:12:58 |  INFO | eleven_ws_tts_client: 🔒 ElevenLabs WebSocket cerrado
2025-07-31T20:12:59.956174712Z 20:12:59 | WARNING | audio_manager: 🚨 TTS stall #1 detectado! (3006.0ms sin chunks)
2025-07-31T20:12:59.956202492Z 20:12:59 | ERROR | audio_manager: 🚨 TTS stall persistente! Reactivando STT
2025-07-31T20:12:59.956213103Z 20:12:59 |  INFO | audio_manager: [FUNCIONALIDAD] TTS completado, reactivando STT...
2025-07-31T20:12:59.956218023Z 20:12:59 |  INFO | audio_manager: ✅ TTS completado
2025-07-31T20:12:59.956264214Z 20:12:59 |  INFO | audio_manager: 🟢 Reactivando STT
2025-07-31T20:12:59.956504769Z 20:12:59 |  INFO | call_orchestrator: ✅ TTS completado, continuando conversación
2025-07-31T20:12:59.95653973Z 20:12:59 |  INFO | call_orchestrator: [DIAGNÓSTICO] Post-TTS - Estado: {'is_speaking': False, 'ignore_stt': False, 'tts_in_progress': False, 'last_audio_activity': 1388609.731102852}, STT listo: True, TTS listo: True
2025-07-31T20:13:23.297759645Z 20:13:23 |  INFO | twilio_handler: [LATENCIA] Evento 'mark' procesado en 0.0 ms
2025-07-31T20:13:26.374051301Z 20:13:26 |  INFO | call_orchestrator: [DIAGNÓSTICO] Salud llamada - Duración: 90.8s, STT: True, TTS: True, Hablando: False
2025-07-31T20:13:28.06272476Z 20:13:28 |  INFO | twilio_handler: 🛑 Evento STOP recibido
2025-07-31T20:13:28.06274772Z 20:13:28 |  INFO | call_orchestrator: 🛑 Stream detenido por Twilio
2025-07-31T20:13:28.06275413Z 20:13:28 |  INFO | call_orchestrator: 🔌 Iniciando shutdown - Razón: stream_stopped
2025-07-31T20:13:28.06277245Z 20:13:28 |  INFO | call_orchestrator: 🔄 Cancelando tareas activas...
2025-07-31T20:13:28.062788661Z 20:13:28 |  INFO | call_orchestrator: ✅ Tarea de monitoreo cancelada
2025-07-31T20:13:28.062832202Z 20:13:28 |  INFO | call_orchestrator: 🔌 Cerrando componentes...
2025-07-31T20:13:28.062851752Z 20:13:28 |  INFO | conversation_flow: 🔌 Cerrando ConversationFlow...
2025-07-31T20:13:28.062908194Z 20:13:28 |  INFO | conversation_flow: 📊 Conversación finalizada - Total: 6 mensajes (Usuario: 3, Asistente: 3)
2025-07-31T20:13:28.062950015Z 20:13:28 |  INFO | conversation_flow: 📜 HISTORIAL COMPLETO:
2025-07-31T20:13:28.062981325Z 20:13:28 |  INFO | conversation_flow:   [0] user: Hola, Alex. ¿Cómo estás? Habla Esteban.
2025-07-31T20:13:28.063017766Z 20:13:28 |  INFO | conversation_flow:   [1] assistant: ¡Hola Esteban! Estoy muy bien, gracias. ¿Y tú? ¿En qué puedo ayudarte hoy? ¿Necesitas algo en particular o solo querías saludar?
2025-07-31T20:13:28.063109388Z 20:13:28 |  INFO | conversation_flow:   [2] user: No, me gustaría saber un poco más sobre los agentes de inteligencia artificial.
2025-07-31T20:13:28.063127829Z 20:13:28 |  INFO | conversation_flow:   [3] assistant: ¡Genial! Los agentes de inteligencia artificial son como empleados digitales superinteligentes que pueden encargarse de tareas específicas, como hablar con clientes, gestionar agendas o analizar datos, pero lo hacen las 24 horas del día, los 7 días de la semana, sin cansarse. 
2025-07-31T20:13:28.063133199Z 
2025-07-31T20:13:28.063138769Z ¿Tienes alguna tarea en mente que te gustaría automatizar o mejorar en tu empresa? ¿O te gustaría que te explique un poco más sobre cómo funcionan y cómo podrían ayudarte?
2025-07-31T20:13:28.06316668Z 20:13:28 |  INFO | conversation_flow:   [4] user: Que solamente.
2025-07-31T20:13:28.06319901Z 20:13:28 |  INFO | conversation_flow:   [5] assistant: Los agentes de IA pueden hacer desde gestionar llamadas y chats, hasta ayudar con tareas de marketing, ventas, y atención al cliente. También pueden ayudar con la automatización de tareas repetitivas, como la gestión de citas, el seguimiento de leads, y la actualización de bases de datos.
2025-07-31T20:13:28.063205531Z 
2025-07-31T20:13:28.063213481Z Nuestros agentes de IA son personalizables, así que podemos adaptarlos a las necesidades específicas de tu empresa. Y lo mejor es que no requieren de ningún conocimiento técnico para implementarlos, nosotros nos encargamos de todo.
2025-07-31T20:13:28.063217671Z 
2025-07-31T20:13:28.063221611Z ¿Te gustaría que te dé un ejemplo de cómo podría funcionar un agente de IA en tu empresa?
2025-07-31T20:13:28.063231631Z 20:13:28 |  INFO | conversation_flow: ✅ ConversationFlow cerrado
2025-07-31T20:13:28.063271372Z 20:13:28 |  INFO | call_orchestrator: ✅ ConversationFlow cerrado
2025-07-31T20:13:28.063355654Z 20:13:28 |  INFO | audio_manager: 🔌 Cerrando AudioManager...
2025-07-31T20:13:28.063375175Z 20:13:28 |  INFO | deepgram_stt_streamer: Iniciando cierre de conexión Deepgram...
2025-07-31T20:13:28.063682602Z 20:13:28 |  INFO | deepgram_stt_streamer: 📨 'CloseStream' enviado a Deepgram.
2025-07-31T20:13:28.165182138Z 20:13:28 | WARNING | deepgram_stt_streamer: 🔒 Conexión Deepgram CERRADA (evento Close [()] [{'close': CloseResponse(type=<WebSocketEvents.Close: 'Close'>)}] recibido desde Deepgram).
2025-07-31T20:13:28.165208638Z 20:13:28 |  INFO | deepgram_stt_streamer: Evento _on_close: Notificando al manager para posible reconexión.
2025-07-31T20:13:28.165223809Z 20:13:28 | WARNING | call_orchestrator: 🔌 Deepgram desconectado
2025-07-31T20:13:29.063811382Z INFO:     connection closed
2025-07-31T20:13:29.372809645Z 20:13:29 | WARNING | deepgram_stt_streamer: 🔒 Conexión Deepgram CERRADA (evento Close [()] [{'close': CloseResponse(type=<WebSocketEvents.Close: 'Close'>)}] recibido desde Deepgram).
2025-07-31T20:13:29.372829465Z 20:13:29 |  INFO | deepgram_stt_streamer: Evento _on_close: Notificando al manager para posible reconexión.
2025-07-31T20:13:29.372839206Z 20:13:29 | WARNING | call_orchestrator: 🔌 Deepgram desconectado
2025-07-31T20:13:29.373226184Z tasks cancelled error: 
2025-07-31T20:13:29.373240205Z 20:13:29 | ERROR | deepgram.clients.common.v1.abstract_async_websocket: tasks cancelled error: 
2025-07-31T20:13:29.373415279Z 20:13:29 |  INFO | deepgram_stt_streamer: ✅ Conexión Deepgram finalizada (método finish() del SDK).
2025-07-31T20:13:29.37348066Z 20:13:29 |  INFO | deepgram_stt_streamer: 🧹 Estado de DeepgramSTTStreamer limpiado después del cierre.
2025-07-31T20:13:29.37348851Z 20:13:29 |  INFO | audio_manager: ✅ Deepgram STT cerrado
2025-07-31T20:13:29.373507041Z 20:13:29 |  INFO | eleven_ws_tts_client: 🔒 Cerrando ElevenLabs WebSocket...
2025-07-31T20:13:29.373634924Z 20:13:29 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Sesión total: 37.7s, chunks: 20, errores: 0
2025-07-31T20:13:29.373640064Z 20:13:29 |  INFO | eleven_ws_tts_client: ✅ ElevenLabs WebSocket cerrado
2025-07-31T20:13:29.373675145Z 20:13:29 |  INFO | audio_manager: ✅ ElevenLabs TTS cerrado
2025-07-31T20:13:29.373721496Z 20:13:29 |  INFO | audio_manager: ✅ AudioManager cerrado completamente
2025-07-31T20:13:29.373729896Z 20:13:29 |  INFO | call_orchestrator: ✅ AudioManager cerrado
2025-07-31T20:13:29.373780767Z 20:13:29 |  INFO | integration_manager: 🔌 Cerrando IntegrationManager...
2025-07-31T20:13:29.373917771Z 20:13:29 |  INFO | integration_manager: ✅ IntegrationManager cerrado
2025-07-31T20:13:29.373944581Z 20:13:29 |  INFO | integration_manager: [LATENCIA] IntegrationManager cerrado en 0.1 ms
2025-07-31T20:13:29.373997242Z 20:13:29 |  INFO | call_orchestrator: ✅ IntegrationManager cerrado
2025-07-31T20:13:29.374065114Z 20:13:29 |  INFO | utils: ☎️ Terminando llamada CA35ef281cab9365a5283c5d8e5b09fe86 en Twilio (motivo=completed)...
2025-07-31T20:13:30.032375512Z 20:13:30 |  INFO | utils: ✅ Twilio confirmó cierre de llamada CA35ef281cab9365a5283c5d8e5b09fe86
2025-07-31T20:13:30.032460824Z 20:13:30 |  INFO | utils: [LATENCIA] Terminación Twilio completada en 658.3 ms
2025-07-31T20:13:30.032468294Z 20:13:30 |  INFO | call_orchestrator: ✅ Llamada terminada en Twilio
2025-07-31T20:13:30.032522365Z 20:13:30 |  INFO | call_orchestrator: 🧹 Limpieza final...
2025-07-31T20:13:30.032576707Z 20:13:30 |  INFO | call_orchestrator: ✅ Session state limpiado
2025-07-31T20:13:30.032623618Z 20:13:30 |  INFO | call_orchestrator: ✅ Shutdown completado exitosamente - Razón: stream_stopped
2025-07-31T20:13:30.032676499Z 20:13:30 |  INFO | call_orchestrator: [LATENCIA] Shutdown completado en 1969.9 ms
2025-07-31T20:13:30.032695929Z 20:13:30 |  INFO | call_orchestrator: 🔚 Shutdown finalizado - Razón: stream_stopped
2025-07-31T20:13:30.03272886Z 20:13:30 |  INFO | twilio_handler: [LATENCIA] Evento 'stop' procesado en 1970.1 ms
2025-07-31T20:13:30.032739861Z 20:13:30 |  INFO | twilio_handler: 🧹 Limpiando TwilioHandler...
2025-07-31T20:13:30.032872584Z 20:13:30 |  INFO | twilio_handler: ✅ WebSocket cerrado correctamente
2025-07-31T20:13:30.032908284Z 20:13:30 |  INFO | twilio_handler: 📊 Duración de la conexión: 94.0 segundos
2025-07-31T20:13:30.032945575Z 20:13:30 |  INFO | twilio_handler: ✅ TwilioHandler limpiado
2025-07-31T20:13:30.032997336Z 20:13:30 |  INFO | twilio_handler: [LATENCIA] Cleanup de TwilioHandler completado en 0.2 ms
2025-07-31T20:13:30.033070578Z 20:13:30 |  INFO | twilio_handler: [LATENCIA] Conexión WebSocket Twilio finalizada en 94036.7 ms
2025-07-31T20:13:30.033122089Z 20:13:30 |  INFO | call_orchestrator: 🔌 Shutdown ya en progreso, ignorando
2025-07-31T20:13:30.03316104Z 20:13:30 |  INFO | call_orchestrator: [LATENCIA] Llamada completa finalizada en 94457.3 ms
2025-07-31T20:13:30.033191291Z 20:13:30 |  INFO | main: [LATENCIA] WebSocket /twilio-websocket completado en 94457.6 ms
